LeafID,TreeID,site,species,DBH,toughness,thickness,hydrated_mass,dry_mass,water_content,water_content_percent,leaf_area,SLA,imageJ notes ,damage_area,percent_damage,damage notes,measurement notes
TWCT9.2,TWCT9,Tower0,Carya tomentosa,16.3,2.8,0.15,8.5449,2.9141,5.6308,65.8966167,,0,,,,,
TWCT9.3,TWCT9,Tower0,Carya tomentosa,16.3,3.45,0.12,7.4166,2.6518,4.7648,64.24507187,,0,,,,,9.3a and 9.3b mislabled as 9.4a and 9.4b (img278-9)
TWCT9.4,TWCT9,Tower0,Carya tomentosa,16.3,3.47,0.14,9.3584,3.2311,6.1273,65.47379894,,0,,,,,
TWCT9.5,TWCT9,Tower0,Carya tomentosa,16.3,3.15,0.14,2.1444,0.7202,1.4242,66.41484798,,0,,,,,
TWCT10.1,TWCT10,Tower0,Carya tomentosa,23.2,4.5,0.15,6.3743,2.1911,4.1832,65.62602952,508.886,232.2513806,,,0,,
TWCT10.2,TWCT10,Tower0,Carya tomentosa,23.2,3.6,0.14,4.1462,1.4877,2.6585,64.11895229,,0,,,,,
TWCT10.3,TWCT10,Tower0,Carya tomentosa,23.2,4.1,0.15,3.2029,1.2313,1.9716,61.55671423,,0,,,,,
TWCT10.4,TWCT10,Tower0,Carya tomentosa,23.2,4.25,0.15,4.6465,1.5971,3.0494,65.62789196,,0,,,,,snipped off and lost leaflet tip by accident 
TWCT10.5,TWCT10,Tower0,Carya tomentosa,23.2,3.5,0.14,2.4456,0.9206,1.525,62.35688584,,0,,,,,
TWFG11.1,TWFG11,Tower0,Fagus grandifolia,30.3,2.8,0.09,0.2625,0.1268,0.1357,51.6952381,42.632,336.214511,,5.635,13.21777069,,
TWFG11.2,TWFG11,Tower0,Fagus grandifolia,30.3,2.85,0.1,0.3032,0.1356,0.1676,55.27704485,46.61,343.7315634,,1.272,2.729028106,,
TWFG11.3,TWFG11,Tower0,Fagus grandifolia,30.3,3.1,0.1,0.332,0.1463,0.1857,55.93373494,49.727,339.897471,,0.78,1.568564361,,
TWFG11.4,TWFG11,Tower0,Fagus grandifolia,30.3,2.8,0.1,0.4164,0.1818,0.2346,56.34005764,65.06,357.8657866,,,0,,
TWFG11.5,TWFG11,Tower0,Fagus grandifolia,30.3,0.95,0.12,0.0604,0.0303,0.0301,49.83443709,13.645,450.330033,,,0,,tiny leaf - toughness taken along skeletal damage
TWFG12.1,TWFG12,Tower0,Fagus grandifolia,18.3,2.6,0.09,0.373,0.151,0.222,59.51742627,56.898,376.807947,,,0,,
TWFG12.2,TWFG12,Tower0,Fagus grandifolia,18.3,1.95,0.2,0.1355,0.0599,0.0756,55.79335793,21.845,364.6911519,,,0,,thickness measured through lateral vein
TWFG12.3,TWFG12,Tower0,Fagus grandifolia,18.3,2.75,0.1,0.1867,0.0763,0.1104,59.1322978,29.433,385.7536042,,,0,,
TWFG12.4,TWFG12,Tower0,Fagus grandifolia,18.3,2.85,0.1,0.5767,0.2269,0.3498,60.65545344,82.859,365.1784927,,0.699,0.843601781,,
TWFG12.5,TWFG12,Tower0,Fagus grandifolia,18.3,3.05,0.08,0.3034,0.1278,0.1756,57.87738958,48.962,383.114241,,1.074,2.193537846,,
TWFG13.1,TWFG13,Tower0,Fagus grandifolia,34.7,1.57,0.08,0.2713,0.1116,0.1597,58.8647254,51.297,459.6505376,,0.309,0.602374408,,
TWFG13.2,TWFG13,Tower0,Fagus grandifolia,34.7,2.45,0.09,0.3027,0.1312,0.1715,56.65675586,50.823,387.3704268,,0.286,0.562737343,,
TWFG13.3,TWFG13,Tower0,Fagus grandifolia,34.7,2.1,0.07,0.2858,0.124,0.1618,56.6130161,51.875,418.3467742,,8.684,16.74024096,,
TWFG13.4,TWFG13,Tower0,Fagus grandifolia,34.7,2.05,0.08,0.3022,0.1233,0.1789,59.19920582,51.182,415.1013788,,,0,,
TWFG13.5,TWFG13,Tower0,Fagus grandifolia,34.7,2.3,0.17,0.1169,0.0509,0.066,56.45851155,20.024,393.3988212,,,0,,thickness measured through lateral vein
